"","merged_dataA[, 1]"
"KMT2A",5.09165958537105
"ENG",7.86349695168838
"MCL1",7.88198950202962
"UTP20",7.2151949508208
"MBD1",6.6821247447042
"PSEN1",5.98270529569476
"ENTPD4",6.48249358997022
"ENSA",7.52109656157383
"ARHGEF11",6.23172237667977
"AIF1",7.34680443783028
"NAIP",5.48996894407432
"ZDHHC18",5.70782596079059
"ALDH5A1",7.19088919768064
"RAB40AL",6.54398284390003
"NPAS2",5.89207094769874
"C1S",7.45055149246671
"FBXO9",6.92703247654902
"NBR2",7.03764606055003
"WDR62",7.091319449933
"GPSM3",8.60436578759608
"TMED3",5.89044087436746
"SLC25A42",5.71204314949168
"PRKAB2",5.26751029768845
"ZNF467",7.38212206436724
"CDK17",4.70055077671752
"TNFRSF8",6.84977014062608
"ETFDH",6.0253548152334
"LPHN3",5.0622519242354
"RNF187",7.13602133461635
"LRRC37A /// LRRC37A2 /// LRRC37A3 /// LRRC37A4P",6.76225748139566
"MYO9B",7.01766635375865
"SCAND2P",6.19937596959068
"SPTBN1",5.12795008344075
"C1orf95",7.19670728780609
"RIMS2",5.42906586369027
"DENND5A",7.90296921765612
"HS6ST1",7.63594596648563
"BMPR2",5.52082434040601
"FNTA",7.26261246058497
"ACSL1",9.17735432122895
"HOXB7",7.67643386885968
"IDI1",7.92923599699762
"CA11",7.62700381014384
"TYROBP",9.10624982733261
"WBP4",5.91967304707439
"RPS27A",8.01528938950236
"BST1",6.33531040871124
"DUSP7",7.30318865542391
"DESI2",6.33900958482739
"LST1",9.20085534339705
"MST1L",5.54745340986789
"ZFYVE16",5.22699030246128
"NPFF",6.71593787744812
"PTP4A2",8.15654076700396
"BOLA2",5.96876879848038
"TWF2",8.31409742603883
"EPOR",7.55841400530388
"ZMYM3",6.93862475397095
"C1orf216",6.1424779554244
"CIRBP",9.22576123535025
"CASP5",4.74770748806418
"ZNF280B",5.56654082066054
"GABRB2",5.88387905193883
"RAP2A /// RAP2B",6.37148389154577
"ARL3",6.51963441074536
"RALB",7.79065588273253
"NDST2",7.16457009541142
"CTSC",6.97843138271768
"CASP2",5.8474331432596
"KLRC4-KLRK1 /// KLRK1",7.50880694005753
"DTX2 /// LOC102725292",6.14039738230496
"SOSTDC1",5.89919025662447
"EYA3",6.45045247181913
"HOPX",7.08940729355069
"KSR1",5.99418021986522
"WSB1",6.21795066504662
"SYN2",5.56665681133149
"ARHGAP5",6.41281989151661
"B3GNTL1",7.02789681663883
"CDHR1",6.52904674915681
"AVIL",6.59279188288264
"AGR2",5.60296163777112
"GNLY",8.40383672966188
"ITGB6 /// LOC100505984",7.65981407742901
"LOC100129518 /// SOD2",8.02325837346233
"FAM155A",5.64571367578763
"RORA",7.07503146662225
"FLOT1",6.92335359460188
"SLC22A14",8.0325126235924
"MED20",6.79117817408008
"TALDO1",10.6831698428158
"DCUN1D4",5.47964836101542
"ATP11A",6.32928110848008
"BCL3 /// MIR8085",7.89347882022735
"ZNF391",6.08834238884175
"CLTB",7.51347587615988
"POM121L2",6.38759451253818
"PRKCE",7.56112195556782
"PTGS2",4.36840835916484
"MIR3658 /// UCK2",6.87709319865419
"GTPBP6",8.35501089760254
"KLF12",6.61504935204279
"NBN",6.33939209500747
"AGPAT2",9.21101753520891
"GMDS",8.23638929169284
"PRUNE2",5.75350263576483
"ARHGEF4 /// LOC101930241",5.40645771459506
"RECQL5",7.85316672429644
"ESRRG",6.17056769632832
"SORBS1",5.38774569302457
"S100A13",6.90633109966695
"SRGAP3",6.70821368400744
"NFYA",6.31598507154148
"CCDC93",7.47070008485986
"ZNF134",6.36321854307557
"NKTR",6.9022425043315
"ANKRD6",4.83406417526967
"FYB",5.98057793347729
"PRF1",8.35113599442525
"TEAD1",6.37038500437906
"MSR1",6.25140545840182
"SUGP1",7.01292908349643
"TERF2",6.73786163140827
"CYLC1",5.09315215875385
"CLIC4",7.98690141427408
"NCAPD3",6.13210689697186
"PCBP2",7.65245051922053
"TNFAIP1",7.64100093038961
"PTPN2",4.44138076119892
"ANXA1",7.86806167979245
"ID4",5.74985461770716
"HSPA2",5.92893874484538
"FCHO1",6.96706207360307
"COMT",7.16843013715964
"ANK1",5.30120144670211
"SUB1",8.16847980987715
"SLC6A13",8.71312708066628
"GALNT18",7.39605515982731
"MYH11",6.32695127563638
"MCM3AP",7.59227761585225
"SF3B1",9.14103692992304
"LOC100996758 /// NPY4R",6.08201659205104
"LOC101927705 /// P4HA2",8.14430319884725
"COCH",4.58586137565097
"ARIH1",7.71223373072861
"NAT6",7.27038103570633
"ANXA3",6.31974138621839
"HSPA6",7.54480957440507
"TCEB3",6.34301155549349
"GIMAP1-GIMAP5 /// GIMAP5",5.83536262349228
"TOX4",7.38195234781931
"CHM",5.60501219983917
"MANBA",7.72541110727415
"SLC7A1",8.28810508717298
"MID2",6.32660965258952
"TBL1X",7.12198750319174
"PAPOLA",7.3540120472837
"DCAF8",6.50702926721605
"HOXC4",7.76973119323561
"EDRF1",5.12027339852203
"NUP210",7.37011511289019
"TTBK2",4.07671123532865
"VARS",7.92594683156974
"ANGEL1",8.02940313877058
"RHOBTB3",5.26255974973107
"MMP25",8.93091339584947
"EFCAB11",6.24241410837745
"CSF3R",8.16628015671395
"IPW /// LOC101930404 /// PWARSN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-22 /// SNORD116-28 /// SNORD116-4 /// SNRPN",6.68879174021838
"TJP1",6.98629772221619
"LEP",5.71826719283843
"PIK3R1",6.50269830650364
"CD9",5.91700227072302
"MKNK1",7.34953709328194
"SERPINB1",7.53356391481959
"FBXL14",6.25124404116925
"FEZ1",6.55173414279496
"RBL1",7.165872815248
"TAP2",7.09247686491062
"HCK",8.09158470138062
"ATP2A1",6.65592911348782
"CD300A",8.07290593601404
"XCL1",6.81081500384869
"CAMK1G",6.47382564876314
"GPR182",6.10533949013831
"TOX",5.29898289560993
"NAALADL1",6.93353949534303
"HRK",5.93169231991264
"ITGBL1",5.18482917141701
"TACC1",7.03161673320165
"GLRX",7.92225128999609
"ARHGAP25",6.95812539932203
"RABGAP1L",7.89961241337406
"PLEK",8.02030925879285
"SOD3",8.6238098555839
"MED14",6.50928720470773
"TSFM",8.49892729434965
"TLL2",5.23126966598665
"ERC1",6.78877706971895
"CUL9",7.34599265818975
"UBE3C",7.07482668580782
"NFKBIE",6.67750801842864
"LOC441155 /// ZC3H11A",6.72748549413492
"SREBF1",7.39226497757776
"MYOG",7.68454088617853
"VAMP3",8.97267885325614
"CUX1",7.1478683697045
"SPRYD7",5.65488747426562
"POLE2",4.58137803233389
"SAFB2",7.50811148298476
"HIST1H1E",5.37569056060128
"LPAR1",5.21097083443841
"RBMS1",7.16290127472858
"RAB32",6.46796393001743
"SLMO1",6.28961863395072
"CIITA",6.32503805978528
"FCGR2A",6.32516816262599
"RPS16",8.7837812962039
"HTATSF1",7.19369864419449
"TOX3",4.84822260926015
"PTGDR",5.80606638606709
"GMFG",8.84883317960934
"ZNF652",6.77815999736681
"CCDC144A",3.09920151035005
"KCNJ4",7.12476788417979
"PSMD9",7.67094185622294
"RBCK1",7.81204037461136
"SUPT20H",5.93417464315234
"MAPRE2",5.80232076900835
"SEPT11",5.76363940522353
"ZNF169",7.14612692818861
"PRRC2A",7.81789001846252
