"","merged_dataP[, 1]"
"MPZL1",4.00381461243771
"DIAPH1",4.89609488343964
"GALK2",4.49043368216499
"PGK1",9.01515791409275
"CNOT3",3.95146691400368
"GPR107",7.05210310226321
"ASCC1",6.90007283184787
"ZBTB11",4.97578994117053
"ARPC5",6.0049677488475
"RHOBTB3",4.75598222854163
"PSPH",6.50553401686454
"PHACTR2",5.81117264510777
"GOLM1",9.58987783246461
"CD37",5.31424257798355
"IL1RN",5.57539067244858
"RAB30",4.92791032702844
"AKAP8L",5.29184200052039
"B4GALT4",7.51924029573935
"POLA2",4.51035735813744
"SERPINB6",8.66641810811811
"SLC11A2",5.95738438394112
"S1PR2",4.19861883973848
"ARL8B",8.64609925855671
"OPA1",6.66846550295475
"ZBTB7B",4.72647821992847
"ANKFY1",7.45957480641384
"DNAJB9",8.2501516994943
"ACTR3",5.52709268689151
"DLG5",6.34196678961523
"YIPF6",7.10226129703623
"PIP5K1C",5.98098152614139
"TTBK2",3.2648153285236
"HOXA2",5.73735838686622
"ZNF254",6.81229500001104
"AKIRIN1",7.64573062939668
"DYM",5.34069652915419
"COL6A1",4.5977567138692
"GOLGA2P5",4.31438786141588
"HIGD2A",8.84877143569314
"RAB2A",8.79417490114907
"RPS27L",7.891305556799
"ACTL6A",4.91513528564862
"YARS2",5.87345109556642
"CPNE3",9.25350181958922
"ANKRD11",5.06329695795025
"MANEA",3.14007350033379
"PLEKHA2",8.99308904522156
"SMG5",6.81185687592329
"TSR1",5.45474308633232
"STK19",6.96856706096027
"WSB1",7.63158316074913
"SRCAP",3.99308122833344
"TRAPPC11",6.32253307674474
"ORMDL2",7.64422782673749
"HDAC5",5.86572890162303
"STAU2",6.36623903740374
"CYP20A1",5.52881140350971
"MGAT4B",7.30388963753327
"UBE2N",6.7261488109349
"NCR1",3.70397564387744
"LPP",8.59999660820047
"VDAC1",8.59791856420537
"PCBP2",7.11265957012642
"ELK3",3.76869758725594
"CDK11A /// CDK11B",5.50251119696725
"EPB41L3",6.46161936284282
"GOLGA7",8.95580471674604
"RNF5 /// RNF5P1",8.49182665494092
"NUPL2",7.07208238069228
"CD151",8.70455907381325
"MYBL1",4.77911735539661
"MLX",7.64275732775704
"TLDC1",3.62607947046063
"H2AFV",8.37960561724367
"DENND6B",3.91262979769875
"CHCHD3",8.3695074431928
"GRM2",3.30522476780739
"TMEM156",3.5128687578741
"RBBP8",6.92913840971322
"PTP4A2",9.44225168526388
"NIPBL",4.9242846867175
"TCP11L1",5.033517613399
"SEC14L1",7.48962208388046
"ARF6",9.67330568025494
"HRASLS2",4.72033269081387
"ATP11A",5.63577055838861
"CSNK1A1",6.70011167075857
"AK2",8.511756795753
"FAM168A",6.12114537977322
"RAB32",6.43870844342454
"SORD",7.70546156428982
"MS4A6A",5.99033828971923
"CTSH",9.39135273114301
"SDHD",9.04869184780208
"LY86",5.69199773077866
"SRPR",9.26671423096387
"ATP2B2",3.15169754070646
"BRCC3",5.9296634973479
"C9orf78",7.92161132107775
"PSD3",4.39105277725556
"ARF4",9.48171227866595
"JAG2",5.14981111126401
"SNX2",6.8700140936382
"SERBP1",7.62439248873943
"NRD1",8.28581901652825
"MCM9",5.28739225481254
"VCAN",5.90115627044043
"NCSTN",6.02923289469826
"FAM45A /// FAM45B",8.30874874408674
"DCTN4",7.76327740993741
"ROCK2",7.05795351475834
"SELT",8.09138274549606
"LOC101928625 /// MED21",6.86706563308664
"CCNE1",6.10058586519542
"TM9SF2",9.08776105918285
"TMED5",8.32080657064492
"SLC25A24",6.86766360768402
"SFT2D2",8.29637861245965
"KLHL7",6.16940494556316
"CAPRIN1",8.92660925361232
"SYDE1",3.84183951196042
"RABAC1",8.56539941862316
"ENY2",6.53672561078614
"ARAF",5.79348983179389
"API5",8.81950796369518
"TBC1D9",6.83641756743841
"CDYL",6.26248922316661
"MMADHC",9.09111553559998
"DGUOK",5.58345045563227
"PRRC2C",5.41750785398327
"BAG6",8.3180834550971
"LOC101929087 /// SUMO2 /// SUMO3",10.6299095819051
"POGK",6.83678725134848
"MINPP1",5.36270075390703
"BAZ2A",4.65678982250769
"FBXL5",8.09579971622034
"MAP3K2",4.38849416533247
"RDX",7.9831470915231
"PEA15",8.32960717149397
"PEX2",5.86872581151242
"LOC101928061 /// SERP1",8.18350707561913
"LOC254896 /// TNFRSF10C",4.68648129036832
"NPRL2",5.84055236886743
"MSH5 /// MSH5-SAPCD1 /// SAPCD1",5.17905124119712
"SERINC3",8.0716929482672
"AKR7A2",7.2384921014544
"SRSF1",9.68372704010972
"GULP1",6.54025390404683
"C3orf18",5.21393299762534
"ARFRP1",5.76481778164392
"STK24",9.42978279885396
"RPE",7.06151250792072
"ZNF331",6.17030445247128
"CYB5B",6.57526213330593
"POLE3",5.65429848227795
"PARD3",6.32048553905373
"PFN1",10.5165124633376
"SPATA2",5.39806333556991
"LRRC8B",4.86519586341185
"CASP7",6.53325446395787
"RCHY1",7.81376286789611
"LDB3",4.90671060507555
"HHEX",3.88096549373586
"MTMR11",5.92826572286029
"XPC",7.2290298817378
"FGF14",3.24600772380952
"LOC100289561 /// LOC100630923 /// PRKRIP1",5.45109706206048
"PSME3",7.03070999063856
"MKL1",3.97630579274215
"EMR1",4.5177022748957
"ETNK1",3.44192779753942
"ATP5S",6.54148046950724
"ASPSCR1",5.21205529462122
"DUSP11",7.22942946316485
"MAP2K2",7.09223600588238
"ERO1LB",6.76525796419595
"CLCN2",4.14502679234211
"PSMB2",5.63906183277208
"MAPK1",4.80934412270943
"PRKAR2A",7.92499306802714
"IPO7",7.99534637490291
"SETD5",6.02036283105599
"REST",6.77526768066785
"MIR3656 /// TRAPPC4",8.50735897479248
"YIPF5",7.76556822295522
"PSMB4",10.5147408697797
"RAPGEF3",6.04106016002739
"HLA-DQB1 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// HLA-DRB6 /// LOC100996809 /// LOC101060835",4.78830061241616
"HMHA1",5.02153659649882
"SLC16A7",6.64456502770244
"KLK1",5.7364160058852
"ITGB1BP1",7.3673288318988
"TPPP",6.81018465190372
"SNPH",4.56462909382048
"CCDC90B",5.84079768624818
"ACAD8",5.51410753348309
"PTRF",5.0726284703372
"MLXIPL",5.67441325026784
"IL15",3.70238598456024
"MDC1",7.74334774573727
"SLC35A5",6.84214320692452
"PSMB1",8.24035118269521
"SEC23B",7.54448222822609
"FAM118A",5.54959891206289
"STX17",6.69271357055319
"SARM1",4.3364274248475
"ARIH2",5.37625718122454
"ZNF611",4.34592226315329
"LOC101927673 /// OTUB1",7.65762334697646
"ZNF706",7.30043404429087
"DGCR6 /// DGCR6L",6.634006895492
"EVA1B",5.70484876498428
"PRKD3",6.42927070183201
"ABT1",5.64575839721352
"EIF3M",4.78311508474466
"NAP1L1",9.01281417378141
"C11orf58",8.08907247276435
"PSMB5",7.99763090103683
"COX8A",10.5851358107269
"BAG4",5.56133854278098
"ECHDC1",8.41000802589533
"MTHFD2",5.35697784189626
"WDR11",6.74745938002479
"RTCA",7.68588403343253
"CD59",9.75778507943172
"JUN",5.5019177921765
"GGA2",6.97636480004081
"LAPTM4A",10.4376938115553
"TMPO",4.63496024867018
"MS4A4A",5.02442850777371
"LDHA",10.8255767630434
"HMG20A",6.52279041063739
"MIR6732 /// ZC3H12A",4.67236006909889
"FAHD2A",6.20893727761741
"LEPROT",8.94788507450623
"TBXA2R",4.57036616197718
"CRLF2",4.06592647926519
"COMMD9",7.70359723794748
"CD248",5.56550240434856
"UBTF",6.28433491557344
"ARPP19",8.1803632194951
"PLCD1",5.47825225287655
"TM9SF3",8.16703587791342
"HGSNAT",6.18846704906936
"PRNP",8.56565389020505
"DFFA",7.92947788979785
"BCAP29",5.81795033943232
"CMPK1",8.24236567742997
"GAL3ST4",5.24252356207122
"SPEN",7.96299096111296
"CNKSR1",4.30248124858731
"ZEB2",4.03521992460025
"DES",4.23949312809154
"FICD",4.1302416008839
"MED20",6.61526136975401
"CD48",6.86444012350628
"ERGIC2",6.18538907313116
"TCEB1",6.64456729535654
"MAD2L1",2.73058185298857
"FAM3C",6.59669948235706
"PPT1",9.14505683324573
"NUDT21",8.3188288903542
"PTPLB",7.0071404800727
"FADS1 /// MIR1908",5.67677804070279
"UPF1",6.61637334917462
"AKAP13",5.75693664819834
"TAL1",4.2219216743598
"CREM",4.22849550276382
"COQ3",6.46995838446858
"LOC101930075 /// PKD1",5.11256175994472
"BEX4",6.36552926886628
"KCTD7 /// RABGEF1",4.61715387476873
"C11orf73",6.22309413465119
"PKD2",6.40564196761171
"PSME4",7.67985369962385
"MAP1A",3.93971267670818
"CLIC5",3.93481229486621
"ARHGEF7",7.61654955532203
"GTF2A2",8.29759599707868
"ZFP64",4.1147697883828
"MCTP1",3.83879060969805
"SUMO3",8.922821281636
"EMC7",7.54745052168613
"TRAM1",9.6989866624814
"RAX",3.44186915346407
"LZTS3",6.24805171789523
"PI4KB",5.51307008343563
"FDX1",7.29018395775461
"SLC35B1",8.21943548913147
"AHR",5.41744526892239
"PSMD12",7.42225406380723
"RNF141",7.76348085352523
"DPP4",8.55395235250247
"PPP6C",8.43797944036932
"LOC101929889 /// SPN",5.80069253939697
"SERP1",6.36093868347306
"ABHD10",7.9669316236444
"PHLDA2",3.68678527799203
"SPATA7",5.50040347663815
"NLGN3",3.90738479464514
"PPA2",6.79118792202023
"ITPR1",6.62237316027663
"RNF138",6.20901684500637
"MRPL41",7.45675087755585
"MARK4",5.99328143141674
"ULK4",3.45646157358065
"HPSE",5.45454991409197
"PRDX3",10.3229340581411
"RP11-209A2.1",7.43416126325675
"TNFRSF10B",9.43410541326329
"GUCA1B",3.76187354627068
"PRRC2A",5.90440064282239
"NETO2",3.32888021140645
"PTK2",8.62100467897692
"DHRS2",4.0238993188662
"ZNF12",5.57286759653238
"TRMT2A",4.57688668931771
"RGS12",2.65267277075157
"PRX",3.74947978675557
"PRDX4",7.12996403209292
"GBAS",8.04384778109351
"PIGF",6.84241292259057
"MCRS1",6.54216393144759
"PTPN2",4.24473401893056
"RAP2B",4.66915769786298
"SLC9A1",4.39344993442565
"NEUROG1",3.67916936262086
"TP53TG1",6.11634399518929
"ZFYVE21",7.05332256683203
"SCAMP1",7.12990052710027
"TRMT5",10.660525192426
"ADAMTS5",5.3688000030471
"PTPRO",12.6576077127266
"CCNC",7.36813987779379
"IL1B",5.7839840834973
"XPOT",6.67459990583638
"EPHB4",6.54628884823325
"HEMK1",5.28790678417162
"SLC11A1",4.18591029440985
"SIRT1",5.32414427527386
"CPOX",4.64680740755817
"LGALS1",8.96217587896139
"HAUS2",7.14296893925952
"TNS4",4.0887584562452
"KDM5C",5.70594401968066
"IGLC1",2.94593009210542
"VRK2",7.32830298778945
"ZBTB38",6.84304200873506
"MAOA",7.95862465888318
"MEF2C",3.95365649660808
"PLP2",8.5062493013794
"STX16",5.64704398190452
"BARD1",4.79855848481239
"AZIN1",7.36463371988785
"AP4S1",4.66837125518894
"VKORC1",7.67760214809098
"CXCL10",5.08620604536837
"NCAM1",2.95703412779912
"SNX13",7.59071464524598
"PRMT2",5.30278682431264
"CCSER2",7.17211738450622
"TRAPPC9",5.50033713205412
"HPS6",4.97016027874517
"DKK2",2.58567742516783
"TOMM22",8.25686934059873
"TLE4",4.39652194076221
"CAPN5",5.78855867801552
"SECISBP2L",7.60109720555499
"BET1",7.44922822966013
"MIER2",3.193441399766
"CCHCR1",5.30857229132981
"CP",5.35949930284759
"HDAC2",7.48049697488217
"INPP1",6.29582793842087
"COPS8",6.13413986331434
"SYNPO",6.30731653488401
"NFYA",6.78524254226992
"GTPBP2",4.5555142633121
"HNMT",7.43912053057809
"EMG1",6.93046456545704
"KIR3DL1 /// KIR3DL2",3.21571547801984
"LIN7C",8.42893457066208
"TFIP11",5.8915733282307
"FAM83E",3.50521748431943
"ZNF589",5.0650147323526
"LEPR /// LEPROT",5.4348615021679
"DSTNP2",8.25430584559257
"CGGBP1",8.60084041401472
"AVIL",5.62778211472486
"RWDD2A",4.58599492283134
"MIR4691 /// MIR7113 /// NDUFS8",7.174406819443
"TUBA1A",9.69759886765202
"NR1D1 /// THRA",6.0697177560539
"PDXK",6.58454055743246
"CARS2",5.45924205947447
"FAM114A2",6.14017401500811
"NF2",6.82915683171096
"GMFB",8.08701376245357
"E4F1",5.28177373813426
"GCLM",4.49321244249787
"MFAP3",4.64278894787855
"FAM189B",4.35939581323004
"CHM",6.79907687148233
"DMXL1",7.1160883164709
"GSTP1",9.44406492365036
"ATM",5.83146652785025
"FAM96B",7.80586500875669
"CHST8",4.0052314731474
"DENR",4.93807731047016
"PPFIBP1",8.07401784395266
"SEC13",8.79337102978205
"PQLC2",4.16082967117513
"IVNS1ABP",8.54894536004314
"MLH1",6.47467471743984
"CELF2",4.95579349650235
"C14orf105",7.52968914199422
"DDOST",8.44758213780261
"STRA6",3.39313105833737
"MYCN",5.29205160520633
"MEA1",8.53023297244959
"CSTF1",6.14573299000427
"LRCH4 /// SAP25",5.74935275857822
"GFM1",5.7417206631847
"VAV2",5.45709999696959
"HGF",3.57621680207279
"GSTO1",8.79835802148677
"SUPT20H",7.5677525278078
"RTN4",9.68670441713667
"LY6G6C",3.63752372466526
"RPS20 /// SNORD54",8.9484298505339
"CLCN1",3.99236076212327
"FBXO22",5.54253710505851
"SAV1",5.91943804397141
"CTNNA1",8.07538615572273
"AGO2 /// CASC7 /// CASC7 /// DQ574852",5.34436757379645
"NUP188",3.20547509313565
"TRA2B",8.86198726295352
"TMED9",6.60248127377318
"CALCRL",5.11332330638781
"CLN8",5.848829311368
"KDM4C",5.21993285485708
"MOB1A",7.29344382109903
"MIS18BP1",5.59764765235942
"KPNA2",6.35541145984834
"DEF8",6.24889744553749
"C11orf71",7.08356070447914
"NDUFAF5",3.4639176290004
"C6orf211",7.17139006065494
"ZNF34",5.0820120256645
"SEPT8",6.26374198042031
"FASN",4.4701048296858
"GPATCH4",5.13004685790712
"NHP2P2 /// NHP2P2",6.14256460282145
"RIPK2",5.71115596550134
"PQLC3",4.35295161193441
"ATP5G3",7.89031557182211
"HEXA",8.0037561177697
"ARHGAP35",7.77369695008346
"RPS17P5 /// RPS17P5",6.40021630578968
"STK38L",7.37392006041078
"PCGF3",4.81842684153605
"CCDC91",5.82893911546987
"BZW1",9.10658204095777
"SH3BP1",4.26325844954418
"DRAP1",6.92677045129044
"MRPL33",8.38648142499589
"SCP2",9.48220161736963
"MIR1204 /// PVT1",4.34847754053715
"VAMP3",9.45761076854083
"MAPK1IP1L",8.34923197016539
"HTT",4.92910163096934
"AGPAT1",7.29401769438598
"PRUNE",7.66241436643262
"DGKH",3.27948646294636
"EEF1DP5 /// EEF1DP5",4.86052274610487
"FAM105A",3.77875644188446
"MR1",4.14849846335997
"KCNIP2",4.20121824339116
"GALNT1",6.96182873276398
"MYO9B",6.32434062310698
"TXNL4A",7.42016590134759
"MINK1",5.61269689940151
"ZNF330",6.19147625556093
"MED25",4.05876915501964
"NOX3",2.72463449775429
"MIF",9.61805075775717
"BTF3P12 /// BTF3P12",4.5053164683123
"POLR1D",8.07673415148382
"FOXK2",6.11576593654077
"NFKBIB",5.45460127781837
"ZNF446",5.31828921581395
"DDX49",5.93369604104174
"RANBP3",6.01072836271663
"RBMS2",6.29080965767814
"FBRS",5.45372833369618
"STS",4.6206107327832
"RRN3 /// RRN3P1 /// RRN3P2",5.45983531630862
"MIR943 /// NELFA",7.35426637662095
"MED8",7.73339752755258
"ADO",6.8440433335382
"RPL15",7.49072827655388
"MIR6716 /// PHLDB1",6.28008569640097
"ERICH1",4.98917282771831
"TMOD2",3.37503335653937
"VAMP7",7.65889422389952
"FGD2",3.24429967746786
"EIF3I",8.08868123779632
"ST7L",5.08374623319752
"SLC5A2",6.4747761440909
"UQCRFS1",9.56774153492081
"PACS1",6.02944173991214
"IGHA1 /// IGHG1 /// IGHM",5.03889235425967
"CNOT4",3.50928058156849
"LOC101927705 /// P4HA2",6.08395132638591
"CSNK1E /// CSNK1E",5.09942529374149
"HIST1H1T",3.47485588989742
"FZD1",6.61219007271452
"LY6G5C",3.89790829127694
"DPP3",5.93655158952379
"KRIT1",4.64581673838989
"SYPL1",8.3112645031914
"ADCY2",2.71341693877847
"RBM3",8.73995685925996
"ACTR1A",9.19762005834395
"JUND",11.3718459598559
"CENPBD1P1",5.80569832924632
"UTP20",4.44081950989574
